date,equity,cash,gross_notional,net_notional,n_long,n_short,funding_pnl,fees,drawdown,breaker,vol_scale,gross_scale,return_pct
2026-09-13,9995.1536,9995.1536,6923.3881,-0.0,17,24,0.0,4.846372,0.0,0,0.7867,1.0,-0.000485
2026-09-13,9992.7831,9995.1536,6925.1525,-2.3705,17,24,0.0,0.0,-0.000722,0,0.7867,1.0,-0.000722
2026-09-14,9984.3342,9984.3342,6025.0124,-0.0,18,24,-1.50947,2.876941,-0.001279,0,0.6418,1.0,-0.001567
2026-09-15,9841.8869,9807.6637,7102.96,34.2232,17,23,19.656476,1.993312,-0.015612,0,0.7573,1.0,-0.015811
2026-09-16,10068.066,10085.1231,6882.5213,-17.0571,17,29,10.684112,1.938632,0.0,0,0.698,1.0,0.006807
2026-09-17,10255.1968,10236.9746,7077.2417,18.2222,17,26,4.223716,1.621735,0.0,0,0.7076,1.0,0.02552
2026-09-18,10370.7363,10362.4944,7851.4837,8.2419,19,24,25.551044,2.49524,0.0,0,0.7585,1.0,0.037074
2026-09-19,10584.3187,10580.7786,7428.9853,3.5401,18,23,24.986534,3.188365,0.0,0,0.7143,1.0,0.058432
2026-09-20,10645.8867,10615.4096,7378.3889,30.4771,17,21,6.808097,1.865749,0.0,0,0.7244,1.0,0.064589
2026-09-21,10820.668,10845.0124,7514.5919,-24.3444,16,28,39.912123,5.180925,0.0,0,0.7059,1.0,0.082067
2026-09-22,10731.7888,10704.9021,6727.5768,26.8867,20,25,0.398994,2.442135,-0.008463,0,0.6349,1.0,0.073179
