date,equity,cash,gross_notional,net_notional,n_long,n_short,funding_pnl,fees,drawdown,breaker,vol_scale,gross_scale,return_pct
2026-06-15,10097.083267762584,10097.083267762584,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.009708326776258325
2026-06-16,10566.992262983393,10566.992262983393,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.056699226298339234
2026-06-17,10668.770561901723,10668.770561901723,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.06687705619017237
2026-06-18,10737.032066641084,10737.032066641084,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.07370320666410834
2026-06-19,10814.356658807767,10814.356658807767,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.08143566588077666
2026-06-20,11192.175971929206,11192.175971929206,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.11921759719292058
2026-06-22,11393.948526701832,11393.948526701832,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.13939485267018314
2026-06-24,11531.455280896736,11531.455280896736,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.15314552808967363
2026-06-25,11637.737993690038,11637.737993690038,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.16377379936900383
2026-06-26,11658.687573211995,11658.687573211995,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.16586875732119943
2026-06-28,11922.837183893176,11922.837183893176,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.19228371838931757
2026-06-30,12123.28454086167,12123.28454086167,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.21232845408616696
2026-07-01,12674.601093753718,12674.601093753718,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.2674601093753717
2026-07-02,13604.436984854985,13604.436984854985,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.3604436984854984
2026-07-03,13640.716410971285,13640.716410971285,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.36407164109712853
2026-07-04,13654.066894468875,13654.066894468875,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.3654066894468875
2026-07-07,16409.612225492838,16409.612225492838,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.6409612225492838
2026-07-08,16860.119038378063,16860.119038378063,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.6860119038378063
2026-07-09,17591.47943935743,17591.47943935743,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.7591479439357429
2026-07-11,17995.437141725713,17995.437141725713,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.7995437141725714
2026-07-12,18956.77632738594,18956.77632738594,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.8956776327385938
2026-07-13,19801.25737579178,19801.25737579178,0.0,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.9801257375791781
