date,equity,cash,gross_notional,net_notional,n_long,n_short,funding_pnl,fees,drawdown,breaker,vol_scale,gross_scale,return_pct
2026-09-13,9994.6559,9994.6559,7634.3934,0.0,10,10,0.0,5.344075,0.0,0,1.0,1.0,-0.000534
2026-09-14,10034.0508,10022.8525,7644.373,11.1983,10,10,0.838401,1.594806,0.0,0,1.0,1.0,0.003405
2026-09-15,9872.5687,9864.3635,7807.9572,8.2052,10,10,30.976193,2.002744,-0.01605,0,1.0,1.0,-0.012743
2026-09-16,10345.7036,10345.7036,6731.0639,-0.0,10,10,18.341811,1.941374,0.0,0,1.0,1.0,0.03457
2026-09-17,10400.5245,10392.3966,6351.3932,8.1279,10,10,10.254424,2.67976,0.0,0,1.0,1.0,0.040052
2026-09-18,10402.9056,10384.068,6873.358,18.8375,10,10,23.801767,3.469489,0.0,0,1.0,1.0,0.040291
2026-09-19,10765.507,10757.4175,7478.0151,8.0895,10,10,27.538341,3.084346,0.0,0,1.0,1.0,0.076551
2026-09-20,10818.26,10838.9893,7082.527,-20.7293,10,10,13.905875,2.305589,0.0,0,1.0,1.0,0.081826
2026-09-21,11261.313,11255.7111,8904.2365,5.6018,10,10,90.656419,5.920776,0.0,0,1.0,1.0,0.126131
2026-09-22,11134.8216,11118.3923,9242.4829,16.4293,10,10,12.598443,2.955847,-0.01149,0,1.0,1.0,0.113482
