date,symbol,target_weight,price
2026-09-13,XAUUSDT,-0.038172,4335.82
2026-09-13,龙虾USDT,0.038172,0.142355
2026-09-13,CLUSDT,0.038172,99.57
2026-09-13,SOXLUSDT,-0.038172,115.7
2026-09-13,SUIUSDT,-0.038172,0.7021
2026-09-13,BZUSDT,0.038172,103.67
2026-09-13,XAGUSDT,-0.038172,63.99
2026-09-13,BTWUSDT,0.038172,0.71834
2026-09-13,USELESSUSDT,0.038172,0.21508
2026-09-13,KORUUSDT,-0.038172,22.15
2026-09-13,AKEUSDT,0.038172,0.015035
2026-09-13,BCHUSDT,-0.038172,220.88
2026-09-13,QQQUSDT,-0.038172,707.81
2026-09-13,DRAMUSDT,-0.038172,56.41
2026-09-13,PAXGUSDT,-0.038172,4332.9
2026-09-13,PROMUSDT,0.038172,5.744
2026-09-13,HEMIUSDT,0.038172,0.006266
2026-09-13,ACEUSDT,0.038172,0.14777
2026-09-13,ONGUSDT,0.038172,0.07641
2026-09-13,BTRUSDT,-0.038172,0.05043
2026-09-14,LSKUSDT,0.038224,0.76056
2026-09-14,XAUUSDT,-0.038224,4345.0
2026-09-14,CLUSDT,0.038224,98.7
2026-09-14,龙虾USDT,0.038224,0.142441
2026-09-14,SOXLUSDT,-0.038224,115.42
2026-09-14,MUUSDT,-0.038224,944.95
2026-09-14,BZUSDT,0.038224,102.94
2026-09-14,SUIUSDT,-0.038224,0.7023
2026-09-14,XAGUSDT,-0.038224,64.22
2026-09-14,BTWUSDT,0.038224,0.73547
2026-09-14,USELESSUSDT,0.038224,0.21435
2026-09-14,QQQUSDT,-0.038224,708.14
2026-09-14,DRAMUSDT,-0.038224,56.52
2026-09-14,AKEUSDT,0.038224,0.01516
2026-09-14,NVDAUSDT,-0.038224,215.38
2026-09-14,BCHUSDT,-0.038224,221.4
2026-09-14,PROMUSDT,0.038224,5.763
2026-09-14,ACEUSDT,0.038224,0.1481
2026-09-14,ONGUSDT,0.038224,0.07669
2026-09-14,BTRUSDT,-0.038224,0.04943
